,City,Country,Place,Latitude,Longitude
0,New York,United States,Marshmello Warehouse,40.7127753,-74.0059728
1,Ciudad de México,Mexico,Autódromo Hermanos Rodríguez,19.4326077,-99.133208
2,Ciudad de México,Mexico,Autódromo Hermanos Rodríguez,19.4326077,-99.133208
3,Monterrey,Mexico,Parque Fundidora,25.6866142,-100.3161126
4,Miami,United States,Bayfront Amphitheater,25.7616798,-80.1917902
5,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
6,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
7,"Athens, OH",United States,The Venue of Athens,39.3292396,-82.1012554
8,Bali,Indonesia,OMNIA Dayclub,-8.3405389,115.0919509
9,Shanghai,China,Shanghai International Music Park,31.2303904,121.4737021
10,"Atlanta, Georgia",United States,Central Park,33.7489954,-84.3879824
11,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
12,Las Vegas,United States,Las Vegas Motor Speedway,36.1699412,-115.1398296
13,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
14,Tampa,United States,Raymond James Stadium,27.950575,-82.4571776
15,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
16,Frankfurt am Main,Germany,Commerzbank-Arena,50.1109221,8.6821267
17,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
18,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
19,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
20,"Rothbury, MI",United States,Double JJ Ranch,43.5072317,-86.3475717
21,Werchter,Belgium,Werchter,50.9712194,4.694200899999999
22,Split,Croatia,Stadion Poljud,43.5081323,16.4401935
23,Turku,Finland,Ruissalo,60.4518126,22.2666302
24,neustadt-glewe,Germany,Flugplatz neustadt-glewe,53.374297,11.5913601
25,Riccione,Italy,Cocoricò,43.9921085,12.6503292
26,Fontana,United States,California Speedway,34.0922335,-117.435048
27,Toronto,Canada,Downsview Park,43.653226,-79.3831843
28,Zambujeira do Mar,Portugal,Herdade da Casa Branca,37.5577771,-8.7591311
29,Cullera (Valencia),Spain,Playa de Cullera,39.1644989,-0.2526163
30,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
31,São Paulo,Brazil,Autódromo de Interlagos,-23.5505199,-46.63330939999999
32,"San Isidro, Buenos Aires",Argentina,Hipódromo de San Isidro,-34.470829,-58.5286102
33,Santiago,Chile,Parque O'Higgins,-33.4488897,-70.6692655
34,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
35,Indio,United States,Empire Polo Club,33.7205771,-116.2155619
36,Las Vegas,United States,Encore Beach Club,36.1699412,-115.1398296
37,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
38,"Gulf Shores, Alabama",United States,Gulf Shores Beach,30.2460361,-87.70081929999999
39,Las Vegas,United States,Surrender Nightclub,36.1699412,-115.1398296
40,New York,United States,Randall's Island,40.7127753,-74.0059728
41,"Manchester, TN",United States,Bonnaroo Farm,35.4817431,-86.0885993
42,Las Vegas,United States,Las Vegas Motor Speedway,36.1699412,-115.1398296
43,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
44,George,United States,Gorge Amphitheatre,36.7071244,-95.9370565
45,Weeze,Germany,Flughafen Niederrhein,51.6266679,6.1968442
46,Boom,Belgium,De Schorre,51.08608,4.36633
47,Paris,France,Hippodrome de Longchamp,48.856614,2.3522219
48,Oro-Medonte,Canada,Burl's Creek,44.56205140000001,-79.5920352
49,Zambujeira do Mar,Portugal,Festival Sudoeste,37.5577771,-8.7591311
50,Odemira,Portugal,Zambujeira do Mar,37.5972313,-8.6366851
51,Cluj-Napoca,Romania,Parcul Central,46.7712101,23.6236353
52,Helsinki,Finland,Kyläsaari/Kalasatama,60.16985569999999,24.9383791
53,Hasselt,Belgium,Kiewit,50.93069,5.332479999999999
54,Leeds,United Kingdom,Bramham Park,53.8007554,-1.5490774
55,Cheshire,United Kingdom,"Daresbury, Halton",53.23263439999999,-2.6103158
56,Reading,United Kingdom,Little John's Farm,42.5256563,-71.0952891
57,Philadelphia,United States,Benjamin Franklin Parkway,39.9525839,-75.1652215
58,Las Vegas,United States,Surrender Nightclub,36.1699412,-115.1398296
59,Miami,United States,MSC Divina,25.7616798,-80.1917902
60,"South Padre Island, TX",United States,Schlitterbahn Water Park,26.1118401,-97.16812569999999
61,Las Vegas,United States,Surrender Nightclub,36.1699412,-115.1398296
62,"Downtown Miami, FL",United States,Downtown Miami,25.7712513,-80.1918728
63,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
64,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
65,"San Diego, CA",United States,Omnia Nightclub,32.715738,-117.1610838
66,Atlanta,United States,Centennial Olympic Park,33.7489954,-84.3879824
67,Kitchener,Canada,Bingemans Park,43.4516395,-80.4925337
68,Las Vegas,United States,Surrender Nightclub,36.1699412,-115.1398296
69,"Surrey, BC",Canada,Holland Park,49.1913466,-122.8490125
70,"Surrey, BC",Canada,Holland Park,49.1913466,-122.8490125
71,"Las Vegas, NV",United States,XS Nightclub,36.1699412,-115.1398296
72,Boom,Belgium,De Schorre,51.08608,4.36633
73,Emmaboda,Sweden,Rasslebygd,56.63068550000001,15.540006
74,Chicago,United States,Grant Park,41.8781136,-87.6297982
75,Cheshire,United Kingdom,Daresbury Estate,53.23263439999999,-2.6103158
76,Tokyo,Japan,Odaiba Open Court,35.6894875,139.6917064
77,Morrison,United States,Red Rocks Amphitheatre,36.711614,-95.97265399999999
78,Seoul,"Korea, Republic of","Han River Park, Nanji area",37.566535,126.9779692
79,Washington DC,United States,Echostage,38.9071923,-77.0368707
80,Norfolk,United States,The NorVa,36.8507689,-76.28587259999999
81,Milwaukee,United States,The Rave,43.0389025,-87.9064736
82,"Pomona, CA",United States,Pomona Fairplex,34.055103,-117.7499909
83,San Diego,United States,Valley View Casino Center,32.715738,-117.1610838
84,São Paulo,Brazil,Autódromo de Interlagos,-23.5505199,-46.63330939999999
85,São Paulo,Brazil,Autódromo de Interlagos,-23.5505199,-46.63330939999999
86,São Paulo,Brazil,Autódromo de Interlagos,-23.5505199,-46.63330939999999
